1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
375	-0.743632	178.074515	16.183257	0.023859	0.7
376	-0.736608	179.074515	16.102371	0.023092	0.7
377	-0.718736	179.467190	16.070830	0.025909	0.7
378	-0.758369	180.467141	15.991065	0.034991	0.7
379	-0.765295	181.467141	15.912084	0.021306	0.7
380	-0.729366	180.664359	15.975426	0.028553	0.7
381	-0.739201	181.664359	15.896599	0.027068	0.7
382	-0.733547	182.664335	15.818548	0.029268	0.7
383	-0.758455	183.664335	15.741258	0.032253	2.1
384	-0.738624	184.664335	15.664719	0.025012	0.7
385	-0.752284	185.664335	15.588921	0.024332	0.7
386	-0.744293	184.861553	15.649712	0.023071	0.8
387	-0.715138	185.861553	15.574059	0.022600	0.9
388	-0.751984	185.058771	15.634734	0.028882	1.0
389	-0.736978	186.058771	15.559225	0.024274	0.8
390	-0.718046	187.058770	15.484443	0.024995	0.9
391	-0.744457	188.058770	15.410375	0.023279	0.9
392	-0.753171	187.255988	15.469779	0.027877	0.7
393	-0.716818	188.255988	15.395851	0.022567	0.7
394	-0.717208	187.453206	15.455143	0.020444	0.7
395	-0.754889	188.423653	15.383525	0.026673	0.6
396	-0.732296	187.620871	15.442722	0.022614	0.7
397	-0.743315	188.620871	15.369052	0.023458	0.8
398	-0.739803	189.620871	15.296082	0.022999	0.7
399	-0.728383	190.620871	15.223801	0.028059	0.7
400	-0.740507	191.620871	15.152201	0.028493	0.7
401	-0.731145	192.608412	15.082150	0.027241	0.7
402	-0.737114	193.608412	15.011872	0.025989	0.7
403	-0.766121	194.608412	14.942247	0.022369	0.7
404	-0.721202	195.608412	14.873264	0.024131	0.7
405	-0.768091	196.608408	14.804915	0.021157	0.7
406	-0.721376	197.608405	14.737192	0.027095	0.7
407	-0.758620	196.815678	14.790827	0.022621	0.7
408	-0.752942	196.013502	14.845501	0.021285	0.6
409	-0.770194	195.210720	14.900621	0.022298	0.7
410	-0.739856	196.210720	14.832022	0.025895	0.7
411	-0.761038	195.407951	14.887041	0.025999	0.7
412	-0.762644	196.407950	14.818566	0.027002	0.7
413	-0.738892	197.407950	14.750718	0.032228	0.7
414	-0.747391	198.407950	14.683488	0.021931	0.7
415	-0.748281	197.606085	14.737349	0.024854	0.7
416	-0.752596	196.803303	14.791668	0.021961	0.7
417	-0.770383	197.803303	14.724065	0.019785	0.7
418	-0.724798	198.803217	14.657083	0.021234	0.7
419	-0.752677	198.000435	14.710811	0.023009	0.7
